iter	Accuracy	MultiClass
297	0.9581570287	0.3180331368
298	0.9581570287	0.3170562012
299	0.9581570287	0.3166348377
300	0.9590973202	0.3156069391
301	0.9595674659	0.3147477983
302	0.9605077574	0.31309279
303	0.9595674659	0.312423785
304	0.9595674659	0.3112702578
305	0.9600376117	0.3107975295
306	0.9600376117	0.3102018413
307	0.9609779031	0.3091515316
308	0.9609779031	0.3085318827
309	0.9623883404	0.3071922657
310	0.9633286319	0.3064272746
311	0.9647390691	0.305671839
312	0.9652092149	0.3047463256
313	0.9642689234	0.3036348372
314	0.9647390691	0.303049795
315	0.9656793606	0.3020368468
316	0.9652092149	0.3013010962
317	0.9661495063	0.3002452483
318	0.9666196521	0.2994288062
319	0.9652092149	0.2983087092
320	0.9680300893	0.2975637761
321	0.9680300893	0.2965856641
322	0.9680300893	0.2956739245
323	0.9689703808	0.2947274922
324	0.9689703808	0.2934693416
325	0.9680300893	0.2928148278
326	0.9685002351	0.2920414862
327	0.9685002351	0.2912438684
328	0.9708509638	0.2904056752
329	0.9713211095	0.289726885
330	0.9708509638	0.2893145032
331	0.9717912553	0.2883387728
332	0.9732016925	0.2876924085
333	0.9732016925	0.2868403554
334	0.9727315468	0.2862005911
335	0.974141984	0.2856568416
336	0.974141984	0.2853339033
337	0.9732016925	0.2847080563
338	0.974141984	0.2839115288
339	0.9736718383	0.2834800645
340	0.9755524213	0.2829452106
341	0.9764927127	0.282195801
342	0.9764927127	0.2812363697
343	0.9764927127	0.2805564317
344	0.9769628585	0.2800390246
345	0.9764927127	0.2792747508
346	0.9764927127	0.2788078477
347	0.9755524213	0.2784974206
348	0.9764927127	0.2775851072
349	0.9764927127	0.2769675818
350	0.976022567	0.2763985229
351	0.9764927127	0.2761301633
352	0.9769628585	0.2756712949
353	0.9769628585	0.2752086387
354	0.9774330042	0.2747348773
355	0.9774330042	0.2740177788
356	0.9774330042	0.2732667623
357	0.97790315	0.2728484978
358	0.9774330042	0.2723371742
359	0.9774330042	0.2713270954
360	0.9783732957	0.2708508949
361	0.9783732957	0.2704501634
362	0.97790315	0.269539543
363	0.9783732957	0.2689628224
364	0.9788434415	0.2683971783
365	0.9788434415	0.2679615819
366	0.9783732957	0.2669378154
367	0.979783733	0.2658296557
368	0.979783733	0.2653334832
369	0.9793135872	0.2650379204
370	0.9793135872	0.2642885969
371	0.9802538787	0.2637452205
372	0.9802538787	0.2631926328
373	0.9802538787	0.2625643466
374	0.9807240244	0.2620543716
375	0.9811941702	0.261081396
376	0.9807240244	0.260607606
377	0.9816643159	0.2600375428
378	0.9821344617	0.2590860027
379	0.9826046074	0.2583561634
380	0.9826046074	0.257897381
381	0.9826046074	0.257082919
382	0.9826046074	0.2562511249
383	0.9830747532	0.2554899502
384	0.9830747532	0.2552172863
385	0.9835448989	0.2547080574
386	0.9830747532	0.254323137
387	0.9830747532	0.2537700042
388	0.9835448989	0.2530919888
389	0.9844851904	0.2521569199
390	0.9835448989	0.2513220553
391	0.9840150447	0.2504403312
392	0.9844851904	0.249783407
393	0.9849553362	0.2495943616
394	0.9849553362	0.2489562615
395	0.9854254819	0.248041882
396	0.9844851904	0.2476201454
397	0.9849553362	0.2472482241
398	0.9854254819	0.2467614924
399	0.9849553362	0.2464318681
400	0.9849553362	0.2455629134
401	0.9844851904	0.2451218362
402	0.9849553362	0.2446878753
403	0.9849553362	0.2444675519
404	0.9849553362	0.2433250438
405	0.9849553362	0.2429550738
406	0.9854254819	0.2423886262
407	0.9854254819	0.2419053092
408	0.9854254819	0.2411463154
409	0.9854254819	0.2406785657
410	0.9858956276	0.2400115264
411	0.9863657734	0.2393844741
412	0.9863657734	0.2388952315
413	0.9868359191	0.2380756617
414	0.9873060649	0.2373878181
415	0.9873060649	0.2370450083
416	0.9877762106	0.236655138
417	0.9877762106	0.2359227161
418	0.9882463564	0.2356488614
419	0.9882463564	0.234989828
420	0.9882463564	0.2343986737
421	0.9882463564	0.2337804166
422	0.9882463564	0.2328618188
423	0.9887165021	0.2323431061
424	0.9891866479	0.2320313734
425	0.9901269394	0.2314880974
426	0.9896567936	0.2311607257
427	0.9905970851	0.230593489
428	0.9905970851	0.2299170232
429	0.9901269394	0.2292282327
430	0.9896567936	0.2289265147
431	0.9905970851	0.2282492024
432	0.9905970851	0.2277981821
433	0.9905970851	0.2272072
434	0.9910672308	0.2266764495
435	0.9910672308	0.2262814858
436	0.9910672308	0.2254768375
437	0.9910672308	0.2250388593
438	0.9920075223	0.2244087223
439	0.9920075223	0.2240965879
440	0.9920075223	0.2235059787
441	0.9920075223	0.223078044
442	0.9920075223	0.2224021808
443	0.9915373766	0.2219367841
444	0.9915373766	0.2216464582
445	0.9915373766	0.2211144595
446	0.9915373766	0.2205729052
447	0.9915373766	0.2201007077
448	0.9920075223	0.2197398198
449	0.9924776681	0.2189883585
450	0.9924776681	0.2185276105
451	0.9924776681	0.2181959775
452	0.9924776681	0.2176661453
453	0.9924776681	0.2171998304
454	0.9924776681	0.2166096661
455	0.9920075223	0.2161372391
456	0.9920075223	0.2158857094
457	0.9920075223	0.2153807704
458	0.9920075223	0.2148201193
459	0.9915373766	0.2143204029
460	0.9920075223	0.21388297
461	0.9924776681	0.2132650715
462	0.9934179596	0.2127084234
463	0.9929478138	0.2118789106
464	0.9929478138	0.2116697927
465	0.9938881053	0.2111094143
466	0.9938881053	0.2108627054
467	0.9938881053	0.2103317541
468	0.9934179596	0.2096054013
469	0.9934179596	0.2089811611
470	0.9934179596	0.2086755836
471	0.9938881053	0.2083138491
472	0.9938881053	0.207851609
473	0.9938881053	0.2076228921
474	0.9938881053	0.2069991111
475	0.9934179596	0.2066106756
476	0.9943582511	0.2062105467
477	0.9943582511	0.2055665928
478	0.9943582511	0.2051278542
479	0.9943582511	0.2048579881
480	0.9943582511	0.204538192
481	0.9943582511	0.2040678454
482	0.9948283968	0.2034897618
483	0.9948283968	0.2031829647
484	0.9948283968	0.2027419305
485	0.9952985425	0.2024073276
486	0.9948283968	0.2020438857
487	0.9948283968	0.2015542988
488	0.996238834	0.2011141685
489	0.9967089798	0.2007873851
490	0.9967089798	0.2004504435
491	0.9967089798	0.199890065
492	0.9967089798	0.1995004816
493	0.9967089798	0.1991936415
494	0.9967089798	0.1986595337
495	0.9967089798	0.1982151995
496	0.9967089798	0.1979492073
497	0.9967089798	0.1973070325
498	0.9967089798	0.1968133852
499	0.9967089798	0.1959236263
500	0.9967089798	0.1956084072
501	0.9967089798	0.1953661174
502	0.9971791255	0.1950642272
503	0.9971791255	0.1945820725
504	0.9971791255	0.1942107681
505	0.9971791255	0.1938153883
506	0.9971791255	0.1934938274
507	0.9971791255	0.1930394498
508	0.9971791255	0.1926465377
509	0.9971791255	0.1923176452
510	0.9967089798	0.1916584827
511	0.9967089798	0.1914070248
512	0.9971791255	0.1910303831
513	0.9976492713	0.1908214804
514	0.9976492713	0.190374664
515	0.9976492713	0.1901877708
516	0.998119417	0.189822062
517	0.998119417	0.1892605931
518	0.998119417	0.1884454423
519	0.998119417	0.187971064
520	0.998119417	0.1877712291
521	0.998119417	0.1874269271
522	0.998119417	0.1871454107
523	0.998119417	0.1868003196
524	0.998119417	0.1862889385
525	0.998119417	0.1858220784
526	0.998119417	0.1855064575
527	0.998119417	0.1852178964
528	0.998119417	0.1849133662
529	0.998119417	0.1845393358
530	0.998119417	0.1840613419
531	0.998119417	0.1836751015
532	0.9985895628	0.1833164375
533	0.998119417	0.1828300501
534	0.9985895628	0.1824702096
535	0.9985895628	0.182200817
536	0.9985895628	0.1818873913
537	0.9985895628	0.1813049747
538	0.998119417	0.1809156352
539	0.998119417	0.1803120414
540	0.998119417	0.1800482732
541	0.998119417	0.1797250623
542	0.998119417	0.1792827655
543	0.998119417	0.1789504295
544	0.9976492713	0.1784627221
545	0.9976492713	0.1782998469
546	0.9976492713	0.1780871421
547	0.9976492713	0.1778605344
548	0.9976492713	0.1775060312
549	0.9976492713	0.1769230838
550	0.9976492713	0.1767643838
551	0.998119417	0.1764242139
552	0.998119417	0.1760069108
553	0.998119417	0.1756559084
554	0.9985895628	0.1753429849
555	0.998119417	0.1749058102
556	0.998119417	0.174488177
557	0.9985895628	0.1743167936
558	0.9985895628	0.1738518561
559	0.9985895628	0.1735722193
560	0.9990597085	0.1729516808
561	0.9990597085	0.1725186096
562	0.9990597085	0.1721903483
563	0.9985895628	0.1719831817
564	0.9985895628	0.1717977663
565	0.9990597085	0.1712832431
566	0.9990597085	0.1710119279
567	0.9990597085	0.1705072329
568	0.9995298543	0.1700884376
569	0.9995298543	0.1696964294
