iter	Passed	Remaining
845	8614	1568
846	8626	1558
847	8639	1548
848	8651	1538
849	8661	1528
850	8673	1518
851	8684	1508
852	8694	1498
853	8707	1488
854	8718	1478
855	8728	1468
856	8737	1457
857	8752	1448
858	8761	1438
859	8771	1427
860	8783	1418
861	8792	1407
862	8802	1397
863	8814	1387
864	8824	1377
865	8836	1367
866	8847	1357
867	8856	1346
868	8869	1337
869	8882	1327
870	8892	1317
871	8905	1307
872	8916	1297
873	8924	1286
874	8934	1276
875	8948	1266
876	8957	1256
877	8968	1246
878	8980	1236
879	8989	1225
880	9003	1216
881	9014	1205
882	9027	1196
883	9036	1185
884	9046	1175
885	9055	1165
886	9071	1155
887	9086	1146
888	9102	1136
889	9114	1126
890	9125	1116
891	9135	1106
892	9147	1096
893	9158	1085
894	9167	1075
895	9179	1065
896	9189	1055
897	9199	1044
898	9210	1034
899	9221	1024
900	9233	1014
901	9247	1004
902	9259	994
903	9270	984
904	9281	974
905	9295	964
906	9306	954
907	9316	943
908	9355	936
909	9379	927
910	9394	917
911	9406	907
912	9416	897
913	9429	887
914	9439	876
915	9449	866
916	9463	856
917	9474	846
918	9484	835
919	9496	825
920	9506	815
921	9515	805
922	9526	794
923	9539	784
924	9549	774
925	9560	764
926	9572	753
927	9581	743
928	9593	733
929	9603	722
930	9612	712
931	9625	702
932	9635	691
933	9645	681
934	9658	671
935	9669	661
936	9678	650
937	9692	640
938	9703	630
939	9713	620
940	9724	609
941	9738	599
942	9748	589
943	9759	578
944	9772	568
945	9783	558
946	9793	548
947	9804	537
948	9816	527
949	9825	517
950	9836	506
951	9844	496
952	9856	486
953	9867	475
954	9876	465
955	9888	455
956	9898	444
957	9908	434
958	9920	424
959	9933	413
960	9947	403
961	9957	393
962	9972	383
963	9985	372
964	9997	362
965	10007	352
966	10020	341
967	10032	331
968	10047	321
969	10060	311
970	10071	300
971	10084	290
972	10097	280
973	10111	269
974	10124	259
975	10139	249
976	10154	239
977	10170	228
978	10184	218
979	10200	208
980	10213	197
981	10225	187
982	10237	177
983	10249	166
984	10260	156
985	10270	145
986	10284	135
987	10296	125
988	10307	114
989	10319	104
990	10340	93
991	10360	83
992	10373	73
993	10384	62
994	10400	52
995	10414	41
996	10428	31
997	10442	20
998	10454	10
999	10465	0
