iter	Accuracy	MultiClass
406	0.8161730136	0.6116102584
407	0.8166431594	0.6112558125
408	0.8171133051	0.6106700817
409	0.8175834509	0.6100753978
410	0.8180535966	0.6094206257
411	0.8199341796	0.608785137
412	0.8204043253	0.6081904531
413	0.8199341796	0.6074287045
414	0.8208744711	0.6068845246
415	0.8213446168	0.6062228656
416	0.8213446168	0.6058040273
417	0.8213446168	0.6050581186
418	0.8222849083	0.604048212
419	0.8227550541	0.6034807314
420	0.8232251998	0.6029009691
421	0.8227550541	0.6025165079
422	0.824635637	0.6018042302
423	0.8260460743	0.601302003
424	0.8260460743	0.6007024409
425	0.8269863658	0.6001456924
426	0.8293370945	0.5996201071
427	0.828396803	0.5989659089
428	0.8288669488	0.5985741591
429	0.8307475317	0.5981529677
430	0.8312176775	0.5976288746
431	0.8307475317	0.5971959181
432	0.8316878232	0.5967311671
433	0.8330982605	0.596120586
434	0.8330982605	0.5955358307
435	0.8345086977	0.5951098185
436	0.8382698637	0.5943806105
437	0.8382698637	0.5937780067
438	0.8377997179	0.5932823221
439	0.8363892807	0.5927512846
440	0.8373295722	0.5921201002
441	0.8377997179	0.5916714186
442	0.8387400094	0.5912086189
443	0.8387400094	0.5906251837
444	0.8387400094	0.5901556692
445	0.8396803009	0.5896530976
446	0.8392101551	0.589055659
447	0.8392101551	0.5884729124
448	0.8392101551	0.588105152
449	0.8387400094	0.5877044491
450	0.8396803009	0.5873486259
451	0.8392101551	0.5865842374
452	0.8377997179	0.585900942
453	0.8382698637	0.5854381997
454	0.8368594264	0.5848956267
455	0.8368594264	0.584484077
456	0.8387400094	0.5839452918
457	0.8382698637	0.5834173535
458	0.8387400094	0.582870878
459	0.8373295722	0.5823007574
460	0.8373295722	0.5819493533
461	0.8392101551	0.5814081003
462	0.8401504466	0.5809496049
463	0.8392101551	0.5803004571
464	0.8396803009	0.579783997
465	0.8392101551	0.5792411944
466	0.8401504466	0.5788980546
467	0.8406205924	0.5784439209
468	0.8410907381	0.5779478919
469	0.8420310296	0.577343509
470	0.8415608839	0.5766836865
471	0.8429713211	0.5760037198
472	0.8448519041	0.5754960979
473	0.8448519041	0.5751115219
474	0.8453220498	0.5746175015
475	0.8462623413	0.5736384138
476	0.8457921956	0.5731113364
477	0.8453220498	0.5726079613
478	0.8448519041	0.5721793092
479	0.8453220498	0.5716776559
480	0.8467324871	0.5712874556
481	0.8476727786	0.5709184899
482	0.8462623413	0.5701906593
483	0.8476727786	0.5695394454
484	0.8462623413	0.568940859
485	0.8472026328	0.568567589
486	0.8486130701	0.5680685182
487	0.8467324871	0.567249551
488	0.8462623413	0.5669425674
489	0.8462623413	0.5665360681
490	0.8457921956	0.5661179184
491	0.8453220498	0.5657692117
492	0.8462623413	0.565314791
493	0.8476727786	0.5648378732
494	0.8472026328	0.5642202904
495	0.8472026328	0.5639561777
496	0.8467324871	0.5635219013
497	0.8481429243	0.5629641771
498	0.8481429243	0.56260118
499	0.8490832158	0.5622979843
500	0.8490832158	0.5617543782
501	0.8509637988	0.5612985228
502	0.8495533615	0.5608702724
503	0.8486130701	0.5604416776
504	0.8490832158	0.5600180758
505	0.8509637988	0.5593557855
506	0.8509637988	0.5589828025
507	0.8509637988	0.5584851665
508	0.8509637988	0.5579155625
509	0.852374236	0.5574718739
510	0.8509637988	0.557017855
511	0.8495533615	0.556588055
512	0.8528443818	0.5562170806
513	0.8528443818	0.5555267262
514	0.8519040903	0.5551213173
515	0.8509637988	0.5548642638
516	0.852374236	0.5544337751
517	0.8533145275	0.5538298513
518	0.8547249647	0.55350852
519	0.8556652562	0.5530512872
520	0.8566055477	0.5527373019
521	0.8551951105	0.5521120861
522	0.8551951105	0.5515692262
523	0.8556652562	0.5512467471
524	0.8570756935	0.550788596
525	0.8575458392	0.5503774481
526	0.8570756935	0.5499311769
527	0.8566055477	0.5495013195
528	0.856135402	0.5489746438
529	0.8566055477	0.5485187884
530	0.8584861307	0.5479363862
531	0.8584861307	0.5476808821
532	0.858015985	0.5472687585
533	0.8584861307	0.5468958329
534	0.8598965679	0.5466311463
535	0.8598965679	0.5458774325
536	0.8603667137	0.5455688993
537	0.8617771509	0.5450413627
538	0.8617771509	0.5445664535
539	0.8622472967	0.5440461482
540	0.8608368594	0.5435994753
541	0.8608368594	0.5432401513
542	0.8608368594	0.5426662429
543	0.8613070052	0.542233229
544	0.8617771509	0.5417583772
545	0.8617771509	0.5414130566
546	0.8617771509	0.5411364327
547	0.8608368594	0.5406627861
548	0.8617771509	0.5403338218
549	0.8608368594	0.540004341
550	0.8598965679	0.5395841827
551	0.8594264222	0.5392784043
552	0.8603667137	0.5389096108
553	0.8603667137	0.5386533607
554	0.8603667137	0.5382154686
555	0.8613070052	0.5378234318
556	0.8617771509	0.5375149561
557	0.8617771509	0.5372785058
558	0.8608368594	0.5369033419
559	0.8622472967	0.5363806835
560	0.8627174424	0.53579369
561	0.8627174424	0.5353905768
562	0.8636577339	0.534952283
563	0.8627174424	0.5344447184
564	0.8631875882	0.5340309304
565	0.8622472967	0.5335751898
566	0.8627174424	0.5331902121
567	0.8627174424	0.5327454331
568	0.8631875882	0.5324772457
569	0.8650681711	0.5319587195
570	0.8650681711	0.5315222621
571	0.8641278796	0.5312839754
572	0.8650681711	0.5306541109
573	0.8655383169	0.530262935
